"APPLICATION_ID","DEALER_ID","APP_DATE","REQUESTED_AMOUNT","REQUESTED_TERM","CREDIT_TIER","DECISION"
"APP-66C7A9F43AFD","D1001","2026-03-28",53800,60,"Prime","Approved"
"APP-666463DF1F99","D1001","2026-03-28",47900,72,"Prime","Declined"
"APP-43D7E7496E2D","D1001","2026-03-28",49500,48,"Prime","Booked"
"APP-7264C556B0E0","D1001","2026-03-28",48200,72,"Prime","Approved"
"APP-DCC1ECB46639","D1001","2026-03-28",44900,60,"Prime","Booked"
"APP-FBA7DFAB79D6","D1001","2026-03-29",48800,84,"Prime","Booked"
"APP-935FA3419103","D1001","2026-03-29",37400,84,"Subprime","Declined"
"APP-EDEBD55D163B","D1001","2026-03-29",39100,72,"Prime","Declined"
"APP-5AE0BA5EC972","D1001","2026-03-29",50400,48,"Prime","Approved"
"APP-4951E32068C5","D1001","2026-03-30",55900,72,"Prime","Booked"
"APP-41B361EDD01F","D1001","2026-03-30",45500,48,"Prime","Booked"
"APP-82F432887D3B","D1001","2026-03-30",47700,60,"Near_Prime","Booked"
"APP-C2CC5A49955D","D1001","2026-03-30",36800,48,"Prime","Declined"
"APP-9150960B9015","D1001","2026-03-30",43200,72,"Near_Prime","Approved"
"APP-637F98AF944F","D1001","2026-03-30",47200,72,"Prime","Booked"
"APP-64BC5AAE19D2","D1001","2026-03-30",46800,84,"Prime","Approved"
"APP-F85F83CF252A","D1001","2026-03-30",30900,72,"Prime","Booked"
"APP-B5E24CD0B130","D1001","2026-03-30",52200,84,"Prime","Declined"
"APP-C64F726168CE","D1001","2026-03-31",30800,72,"Subprime","Booked"
"APP-0F57170DABEE","D1001","2026-03-31",51300,60,"Prime","Booked"
"APP-B8874FB1A01F","D1001","2026-03-31",45300,72,"Subprime","Declined"
"APP-333B34422A68","D1001","2026-03-31",42600,84,"Prime","Booked"
"APP-A3460BAC7677","D1001","2026-03-31",41100,72,"Prime","Approved"
"APP-9B8A74E8D955","D1001","2026-03-31",45100,48,"Prime","Declined"
"APP-06D4152CE3A4","D1001","2026-03-31",43500,84,"Subprime","Declined"
"APP-B2F46526BC9C","D1001","2026-03-31",34300,48,"Prime","Declined"
"APP-52CA6D3E1B3D","D1001","2026-03-31",44800,72,"Prime","Booked"
"APP-4A315EC9E5A9","D1001","2026-03-31",44800,72,"Prime","Approved"
"APP-D9D1B22A1B3D","D1001","2026-04-01",35200,72,"Near_Prime","Booked"
"APP-90DE2EC47EB7","D1001","2026-04-01",49600,60,"Prime","Declined"
"APP-42FBBC104115","D1001","2026-04-01",34300,84,"Subprime","Booked"
"APP-E8DB6EFF6E45","D1001","2026-04-01",36000,84,"Subprime","Approved"
"APP-0A7F60A617BE","D1001","2026-04-01",38900,84,"Near_Prime","Declined"
"APP-018CE5FD8808","D1001","2026-04-01",40100,72,"Prime","Declined"
"APP-FF0A00AC1ED7","D1001","2026-04-01",48400,72,"Prime","Booked"
"APP-4E88914CF50E","D1001","2026-04-02",41800,84,"Prime","Declined"
"APP-EFFE9F702077","D1001","2026-04-02",55400,60,"Prime","Declined"
"APP-F4EE26E93759","D1001","2026-04-02",48800,60,"Prime","Booked"
"APP-1B519F985AB4","D1001","2026-04-02",48300,60,"Near_Prime","Approved"
"APP-33847358BF8F","D1001","2026-04-02",32600,84,"Subprime","Booked"
"APP-93066BA1AA56","D1001","2026-04-02",37500,84,"Prime","Booked"
"APP-EB52F3AC86FF","D1001","2026-04-02",32600,72,"Prime","Booked"
"APP-EE4887F9ABA8","D1001","2026-04-02",40800,60,"Prime","Declined"
"APP-0EA91EFAC016","D1001","2026-04-02",43600,72,"Prime","Declined"
"APP-3A2D51726B58","D1001","2026-04-03",47400,84,"Prime","Approved"
"APP-237CB9FBB14F","D1001","2026-04-03",36300,60,"Subprime","Booked"
"APP-F7B843FA52EA","D1001","2026-04-03",39000,72,"Prime","Booked"
"APP-53F13022584F","D1001","2026-04-03",53500,72,"Prime","Booked"
"APP-6C923B41ADE2","D1001","2026-04-03",53600,72,"Prime","Booked"
"APP-8B1760CE1A3B","D1001","2026-04-03",58800,72,"Prime","Booked"
"APP-8B353822E97F","D1001","2026-04-03",42400,60,"Prime","Booked"
"APP-E856E8616D11","D1001","2026-04-03",26900,48,"Prime","Booked"
"APP-93BEC6B7B413","D1001","2026-04-03",43500,84,"Near_Prime","Booked"
"APP-10A35B9E9BB6","D1001","2026-04-03",43100,84,"Prime","Booked"
