"DEALER_ID","PERIOD","VOLUME","LOOK_TO_BOOK","FUNDING_VELOCITY","CHARGE_OFF_CONTRIBUTION","EXCEPTION_RATE"
"D1001","2026-04-01",252,0.5635,1.67,0,0.055944
"D1001","2026-05-01",252,0.5556,1.74,0.25,0.078571
"D1001","2026-06-01",208,0.4375,1.72,0.1111,0.083333
"D1002","2026-04-01",254,0.4961,1.7,0,0.078125
"D1002","2026-05-01",263,0.4905,1.79,0,0.091603
"D1002","2026-06-01",213,0.5352,1.59,0.1111,0.034483
"D1003","2026-04-01",265,0.4302,1.57,0,0.027273
"D1003","2026-05-01",262,0.4198,1.77,0,0.094828
"D1003","2026-06-01",225,0.48,1.55,0.1111,0.054545
"D1004","2026-04-01",259,0.4595,1.75,0,0.078261
"D1004","2026-05-01",243,0.4691,1.76,0.5,0.09322
"D1004","2026-06-01",219,0.484,1.62,0.3333,0.072727
"D1005","2026-04-01",247,0.5425,1.75,0,0.079137
"D1005","2026-05-01",243,0.4815,1.5,0,0.026087
"D1005","2026-06-01",213,0.5446,1.67,0.1111,0.082645
"D1006","2026-04-01",115,0.4087,2.78,0,0.081633
"D1006","2026-05-01",113,0.4071,3.11,0.25,0.217391
"D1006","2026-06-01",99,0.4545,2.77,0,0.170213
"D1007","2026-04-01",124,0.4758,2.92,0,0.116667
"D1007","2026-05-01",118,0.3814,2.98,0,0.136364
"D1007","2026-06-01",96,0.3958,2.76,0,0.125
"D1008","2026-04-01",114,0.3596,3,0,0.175
"D1008","2026-05-01",116,0.4138,2.86,0,0.098039
"D1008","2026-06-01",88,0.5341,3,0.1111,0.148936
"D1009","2026-04-01",118,0.4068,2.63,0,0.065217
"D1009","2026-05-01",116,0.3362,2.53,0,0.078947
"D1009","2026-06-01",98,0.4592,2.88,0,0.208333
"D1010","2026-04-01",115,0.4435,2.79,0,0.056604
"D1010","2026-05-01",114,0.4035,2.7,0,0.108696
"D1010","2026-06-01",96,0.4271,3,0,0.071429
"D1011","2026-04-01",120,0.3833,2.63,0,0.086957
"D1011","2026-05-01",124,0.4516,2.86,0,0.140351
"D1011","2026-06-01",97,0.3402,2.73,0,0.151515
"D1012","2026-04-01",107,0.3925,2.84,0,0.111111
"D1012","2026-05-01",107,0.3271,2.4,0,0.085714
"D1012","2026-06-01",92,0.3261,2.85,0.1111,0.133333
"D1013","2026-04-01",51,0.3922,3.96,0,0.173913
"D1013","2026-05-01",50,0.3,4.13,0,0.2
"D1013","2026-06-01",43,0.3488,5.27,0,0.333333
"D1014","2026-04-01",52,0.3077,4.13,0,0.3125
"D1014","2026-05-01",50,0.34,3.44,0,0.1875
"D1014","2026-06-01",37,0.3514,4.09,0,0.142857
"D1015","2026-04-01",49,0.3061,3.75,0,0.25
"D1015","2026-05-01",51,0.3137,4.38,0,0.3125
"D1015","2026-06-01",42,0.2381,4,0,0.5
"D4471","2026-04-01",252,0.4087,2.21,0,0.163462
"D4471","2026-05-01",262,0.3168,4.26,0,0.313953
"D4471","2026-06-01",208,0.2788,5.28,0,0.3559
